"A","B","C"
"Jarvis AlgorithmAll Hull Points","30","0.0011"
"Jarvis AlgorithmAll Hull Points","40","0.0025"
"Jarvis AlgorithmAll Hull Points","50","0.0034"
"Jarvis AlgorithmAll Hull Points","60","0.0041"
"Jarvis AlgorithmAll Hull Points","70","0.0059"
"Jarvis AlgorithmAll Hull Points","80","0.0077"
"Jarvis AlgorithmAll Hull Points","90","0.009"
"Jarvis AlgorithmAll Hull Points","100","0.0101"
"Jarvis AlgorithmAll Hull Points","110","0.0071"
"Jarvis AlgorithmAll Hull Points","120","0.0079"
"Jarvis AlgorithmAll Hull Points","130","0.0097"
"Jarvis AlgorithmAll Hull Points","140","0.0114"
"Jarvis AlgorithmAll Hull Points","150","0.0157"
"Jarvis AlgorithmAll Hull Points","160","0.0271"
"Jarvis AlgorithmAll Hull Points","170","0.0269"
"Jarvis AlgorithmAll Hull Points","180","0.023"
"Jarvis AlgorithmAll Hull Points","190","0.021"
"Jarvis AlgorithmAll Hull Points","200","0.0284"
"Jarvis AlgorithmAll Hull Points","210","0.024"
"Jarvis AlgorithmAll Hull Points","220","0.0274"
"Jarvis AlgorithmAll Hull Points","230","0.0291"
"Jarvis AlgorithmAll Hull Points","240","0.0315"
"Jarvis AlgorithmAll Hull Points","250","0.0337"
"Jarvis AlgorithmAll Hull Points","260","0.0394"
"Jarvis AlgorithmAll Hull Points","270","0.0557"
"Jarvis AlgorithmAll Hull Points","280","0.1069"
"Jarvis AlgorithmAll Hull Points","290","0.0525"
"Jarvis AlgorithmAll Hull Points","300","0.0796"
"Jarvis AlgorithmAll Hull Points","310","0.0512"
"Jarvis AlgorithmAll Hull Points","320","0.0541"
"Jarvis AlgorithmAll Hull Points","330","0.0578"
"Jarvis AlgorithmAll Hull Points","340","0.0737"
"Jarvis AlgorithmAll Hull Points","350","0.0768"
"Jarvis AlgorithmAll Hull Points","360","0.0863"
"Jarvis AlgorithmAll Hull Points","370","0.0991"
"Jarvis AlgorithmAll Hull Points","380","0.1378"
"Jarvis AlgorithmAll Hull Points","390","0.1414"
"Jarvis AlgorithmAll Hull Points","400","0.1599"
"Jarvis AlgorithmAll Hull Points","410","0.1549"
"Jarvis AlgorithmAll Hull Points","420","0.1367"
"Jarvis AlgorithmAll Hull Points","430","0.1067"
"Jarvis AlgorithmAll Hull Points","440","0.1047"
"Jarvis AlgorithmAll Hull Points","450","0.1078"
"Jarvis AlgorithmAll Hull Points","460","0.1107"
"Jarvis AlgorithmAll Hull Points","470","0.1833"
"Jarvis AlgorithmAll Hull Points","480","0.1534"
"Jarvis AlgorithmAll Hull Points","490","0.1336"
"Jarvis AlgorithmAll Hull Points","500","0.1304"
"Jarvis AlgorithmAll Hull Points","510","0.1359"
"Jarvis AlgorithmAll Hull Points","520","0.1421"
"Jarvis AlgorithmAll Hull Points","530","0.1541"
"Jarvis AlgorithmAll Hull Points","540","0.1537"
"Jarvis AlgorithmAll Hull Points","550","0.1572"
"Jarvis AlgorithmAll Hull Points","560","0.1739"
"Jarvis AlgorithmAll Hull Points","570","0.1652"
"Jarvis AlgorithmAll Hull Points","580","0.1748"
"Jarvis AlgorithmAll Hull Points","590","0.2245"
"Jarvis AlgorithmAll Hull Points","600","0.2232"
"Jarvis AlgorithmAll Hull Points","610","0.2015"
"Jarvis AlgorithmAll Hull Points","620","0.1993"
"Jarvis AlgorithmAll Hull Points","630","0.2035"
"Jarvis AlgorithmAll Hull Points","640","0.2113"
"Jarvis AlgorithmAll Hull Points","650","0.2173"
"Jarvis AlgorithmAll Hull Points","660","0.2444"
"Jarvis AlgorithmAll Hull Points","670","0.2277"
"Jarvis AlgorithmAll Hull Points","680","0.2376"
"Jarvis AlgorithmAll Hull Points","690","0.2499"
"Jarvis AlgorithmAll Hull Points","700","0.277"
"Jarvis AlgorithmAll Hull Points","710","0.2626"
"Jarvis AlgorithmAll Hull Points","720","0.2674"
"Jarvis AlgorithmAll Hull Points","730","0.2741"
"Jarvis AlgorithmAll Hull Points","740","0.3005"
"Jarvis AlgorithmAll Hull Points","750","0.2912"
"Jarvis AlgorithmAll Hull Points","760","0.3016"
"Jarvis AlgorithmAll Hull Points","770","0.3064"
"Jarvis AlgorithmAll Hull Points","780","0.3327"
"Jarvis AlgorithmAll Hull Points","790","0.3346"
"Jarvis AlgorithmAll Hull Points","800","0.3429"
"Jarvis AlgorithmAll Hull Points","810","0.359"
"Jarvis AlgorithmAll Hull Points","820","0.397"
"Jarvis AlgorithmAll Hull Points","830","0.3581"
"Jarvis AlgorithmAll Hull Points","840","0.3816"
"Jarvis AlgorithmAll Hull Points","850","0.3813"
"Jarvis AlgorithmAll Hull Points","860","0.3955"
"Jarvis AlgorithmAll Hull Points","870","0.3932"
"Jarvis AlgorithmAll Hull Points","880","0.3929"
"Jarvis AlgorithmAll Hull Points","890","0.4182"
"Jarvis AlgorithmAll Hull Points","900","0.4241"
"Jarvis AlgorithmAll Hull Points","910","0.4461"
"Jarvis AlgorithmAll Hull Points","920","0.4351"
"Jarvis AlgorithmAll Hull Points","930","0.4672"
"Jarvis AlgorithmAll Hull Points","940","0.4741"
"Jarvis AlgorithmAll Hull Points","950","0.4658"
"Jarvis AlgorithmAll Hull Points","960","0.4873"
"Jarvis AlgorithmAll Hull Points","970","0.495"
"Jarvis AlgorithmAll Hull Points","980","0.5061"
"Jarvis AlgorithmAll Hull Points","990","0.5081"
"Jarvis AlgorithmAll Hull Points","1000","0.5924"
"Jarvis AlgorithmAll Hull Points","1010","0.5307"
"Jarvis AlgorithmAll Hull Points","1020","0.5556"
"Jarvis AlgorithmAll Hull Points","1030","0.5477"
"Jarvis AlgorithmAll Hull Points","1040","0.5766"
"Jarvis AlgorithmAll Hull Points","1050","0.5702"
"Jarvis AlgorithmAll Hull Points","1060","0.5979"
"Jarvis AlgorithmAll Hull Points","1070","0.6047"
"Jarvis AlgorithmAll Hull Points","1080","0.6187"
"Jarvis AlgorithmAll Hull Points","1090","0.6379"
"Jarvis AlgorithmAll Hull Points","1100","0.6316"
"Jarvis AlgorithmAll Hull Points","1110","0.6515"
"Jarvis AlgorithmAll Hull Points","1120","0.6586"
"Jarvis AlgorithmAll Hull Points","1130","0.6593"
"Jarvis AlgorithmAll Hull Points","1140","0.6844"
"Jarvis AlgorithmAll Hull Points","1150","0.6958"
"Jarvis AlgorithmAll Hull Points","1160","0.6932"
"Jarvis AlgorithmAll Hull Points","1170","0.7285"
"Jarvis AlgorithmAll Hull Points","1180","0.7253"
"Jarvis AlgorithmAll Hull Points","1190","0.7321"
"Jarvis AlgorithmAll Hull Points","1200","0.7546"
"Jarvis AlgorithmAll Hull Points","1210","0.7718"
"Jarvis AlgorithmAll Hull Points","1220","0.7955"
"Jarvis AlgorithmAll Hull Points","1230","0.7804"
"Jarvis AlgorithmAll Hull Points","1240","0.8188"
