"A","B","C"
"Jarvis AlgorithmMin Hull Points","5990","0.0113"
"Jarvis AlgorithmMin Hull Points","6000","0.0142"
"Jarvis AlgorithmMin Hull Points","6010","0.0127"
"Jarvis AlgorithmMin Hull Points","6020","0.0122"
"Jarvis AlgorithmMin Hull Points","6030","0.0137"
"Jarvis AlgorithmMin Hull Points","6040","0.0147"
"Jarvis AlgorithmMin Hull Points","6050","0.0165"
"Jarvis AlgorithmMin Hull Points","6060","0.0143"
"Jarvis AlgorithmMin Hull Points","6070","0.016"
"Jarvis AlgorithmMin Hull Points","6080","0.0135"
"Jarvis AlgorithmMin Hull Points","6090","0.0148"
"Jarvis AlgorithmMin Hull Points","6100","0.0152"
"Jarvis AlgorithmMin Hull Points","6110","0.0143"
"Jarvis AlgorithmMin Hull Points","6120","0.0125"
"Jarvis AlgorithmMin Hull Points","6130","0.0149"
"Jarvis AlgorithmMin Hull Points","6140","0.0123"
"Jarvis AlgorithmMin Hull Points","6150","0.0112"
"Jarvis AlgorithmMin Hull Points","6160","0.0108"
"Jarvis AlgorithmMin Hull Points","6170","0.011"
"Jarvis AlgorithmMin Hull Points","6180","0.0109"
"Jarvis AlgorithmMin Hull Points","6190","0.019"
"Jarvis AlgorithmMin Hull Points","6200","0.0117"
"Jarvis AlgorithmMin Hull Points","6210","0.0115"
"Jarvis AlgorithmMin Hull Points","6220","0.0216"
"Jarvis AlgorithmMin Hull Points","6230","0.0127"
"Jarvis AlgorithmMin Hull Points","6240","0.014"
"Jarvis AlgorithmMin Hull Points","6250","0.0114"
"Jarvis AlgorithmMin Hull Points","6260","0.0123"
"Jarvis AlgorithmMin Hull Points","6270","0.0116"
"Jarvis AlgorithmMin Hull Points","6280","0.0125"
"Jarvis AlgorithmMin Hull Points","6290","0.0127"
"Jarvis AlgorithmMin Hull Points","6300","0.0119"
"Jarvis AlgorithmMin Hull Points","6310","0.0127"
"Jarvis AlgorithmMin Hull Points","6320","0.0126"
"Jarvis AlgorithmMin Hull Points","6330","0.0129"
"Jarvis AlgorithmMin Hull Points","6340","0.0145"
"Jarvis AlgorithmMin Hull Points","6350","0.0151"
"Jarvis AlgorithmMin Hull Points","6360","0.018"
"Jarvis AlgorithmMin Hull Points","6370","0.0203"
"Jarvis AlgorithmMin Hull Points","6380","0.0201"
"Jarvis AlgorithmMin Hull Points","6390","0.0178"
"Jarvis AlgorithmMin Hull Points","6400","0.0208"
"Jarvis AlgorithmMin Hull Points","6410","0.0128"
"Jarvis AlgorithmMin Hull Points","6420","0.0125"
"Jarvis AlgorithmMin Hull Points","6430","0.0144"
"Jarvis AlgorithmMin Hull Points","6440","0.0265"
"Jarvis AlgorithmMin Hull Points","6450","0.0149"
"Jarvis AlgorithmMin Hull Points","6460","0.0118"
"Jarvis AlgorithmMin Hull Points","6470","0.0116"
"Jarvis AlgorithmMin Hull Points","6480","0.012"
"Jarvis AlgorithmMin Hull Points","6490","0.0112"
"Jarvis AlgorithmMin Hull Points","6500","0.0111"
"Jarvis AlgorithmMin Hull Points","6510","0.0111"
"Jarvis AlgorithmMin Hull Points","6520","0.0113"
"Jarvis AlgorithmMin Hull Points","6530","0.0113"
"Jarvis AlgorithmMin Hull Points","6540","0.0113"
"Jarvis AlgorithmMin Hull Points","6550","0.0123"
"Jarvis AlgorithmMin Hull Points","6560","0.016"
"Jarvis AlgorithmMin Hull Points","6570","0.0257"
"Jarvis AlgorithmMin Hull Points","6580","0.017"
"Jarvis AlgorithmMin Hull Points","6590","0.0139"
"Jarvis AlgorithmMin Hull Points","6600","0.0127"
"Jarvis AlgorithmMin Hull Points","6610","0.016"
"Jarvis AlgorithmMin Hull Points","6620","0.0117"
"Jarvis AlgorithmMin Hull Points","6630","0.0122"
"Jarvis AlgorithmMin Hull Points","6640","0.0114"
"Jarvis AlgorithmMin Hull Points","6650","0.0114"
"Jarvis AlgorithmMin Hull Points","6660","0.0122"
"Jarvis AlgorithmMin Hull Points","6670","0.0191"
"Jarvis AlgorithmMin Hull Points","6680","0.0122"
"Jarvis AlgorithmMin Hull Points","6690","0.0113"
"Jarvis AlgorithmMin Hull Points","6700","0.0126"
"Jarvis AlgorithmMin Hull Points","6710","0.012"
"Jarvis AlgorithmMin Hull Points","6720","0.0119"
"Jarvis AlgorithmMin Hull Points","6730","0.0121"
"Jarvis AlgorithmMin Hull Points","6740","0.0122"
"Jarvis AlgorithmMin Hull Points","6750","0.0167"
"Jarvis AlgorithmMin Hull Points","6760","0.0419"
"Jarvis AlgorithmMin Hull Points","6770","0.0289"
"Jarvis AlgorithmMin Hull Points","6780","0.0136"
"Jarvis AlgorithmMin Hull Points","6790","0.0128"
"Jarvis AlgorithmMin Hull Points","6800","0.0117"
"Jarvis AlgorithmMin Hull Points","6810","0.0139"
"Jarvis AlgorithmMin Hull Points","6820","0.0201"
"Jarvis AlgorithmMin Hull Points","6830","0.0134"
"Jarvis AlgorithmMin Hull Points","6840","0.0158"
"Jarvis AlgorithmMin Hull Points","6850","0.0155"
"Jarvis AlgorithmMin Hull Points","6860","0.0398"
"Jarvis AlgorithmMin Hull Points","6870","0.0131"
"Jarvis AlgorithmMin Hull Points","6880","0.0131"
"Jarvis AlgorithmMin Hull Points","6890","0.0121"
"Jarvis AlgorithmMin Hull Points","6900","0.0133"
"Jarvis AlgorithmMin Hull Points","6910","0.0132"
"Jarvis AlgorithmMin Hull Points","6920","0.0177"
"Jarvis AlgorithmMin Hull Points","6930","0.0176"
"Jarvis AlgorithmMin Hull Points","6940","0.0131"
"Jarvis AlgorithmMin Hull Points","6950","0.0142"
"Jarvis AlgorithmMin Hull Points","6960","0.0143"
"Jarvis AlgorithmMin Hull Points","6970","0.0142"
"Jarvis AlgorithmMin Hull Points","6980","0.0145"
"Jarvis AlgorithmMin Hull Points","6990","0.015"
"Jarvis AlgorithmMin Hull Points","7000","0.0169"
"Jarvis AlgorithmMin Hull Points","7010","0.0189"
"Jarvis AlgorithmMin Hull Points","7020","0.0186"
"Jarvis AlgorithmMin Hull Points","7030","0.0141"
"Jarvis AlgorithmMin Hull Points","7040","0.02"
"Jarvis AlgorithmMin Hull Points","7050","0.0134"
"Jarvis AlgorithmMin Hull Points","7060","0.0122"
"Jarvis AlgorithmMin Hull Points","7070","0.0146"
"Jarvis AlgorithmMin Hull Points","7080","0.0124"
"Jarvis AlgorithmMin Hull Points","7090","0.0138"
"Jarvis AlgorithmMin Hull Points","7100","0.0142"
"Jarvis AlgorithmMin Hull Points","7110","0.014"
"Jarvis AlgorithmMin Hull Points","7120","0.0144"
"Jarvis AlgorithmMin Hull Points","7130","0.0137"
"Jarvis AlgorithmMin Hull Points","7140","0.0141"
"Jarvis AlgorithmMin Hull Points","7150","0.0122"
"Jarvis AlgorithmMin Hull Points","7160","0.0136"
"Jarvis AlgorithmMin Hull Points","7170","0.0152"
"Jarvis AlgorithmMin Hull Points","7180","0.0156"
"Jarvis AlgorithmMin Hull Points","7190","0.0141"
"Jarvis AlgorithmMin Hull Points","7200","0.0135"
"Jarvis AlgorithmMin Hull Points","7210","0.014"
"Jarvis AlgorithmMin Hull Points","7220","0.0143"
"Jarvis AlgorithmMin Hull Points","7230","0.0211"
"Jarvis AlgorithmMin Hull Points","7240","0.0154"
"Jarvis AlgorithmMin Hull Points","7250","0.0139"
"Jarvis AlgorithmMin Hull Points","7260","0.0134"
"Jarvis AlgorithmMin Hull Points","7270","0.014"
"Jarvis AlgorithmMin Hull Points","7280","0.0146"
"Jarvis AlgorithmMin Hull Points","7290","0.0145"
"Jarvis AlgorithmMin Hull Points","7300","0.0146"
"Jarvis AlgorithmMin Hull Points","7310","0.0214"
"Jarvis AlgorithmMin Hull Points","7320","0.0196"
"Jarvis AlgorithmMin Hull Points","7330","0.021"
"Jarvis AlgorithmMin Hull Points","7340","0.0165"
"Jarvis AlgorithmMin Hull Points","7350","0.0148"
"Jarvis AlgorithmMin Hull Points","7360","0.0147"
"Jarvis AlgorithmMin Hull Points","7370","0.0183"
"Jarvis AlgorithmMin Hull Points","7380","0.0176"
"Jarvis AlgorithmMin Hull Points","7390","0.0151"
"Jarvis AlgorithmMin Hull Points","7400","0.0142"
"Jarvis AlgorithmMin Hull Points","7410","0.0138"
"Jarvis AlgorithmMin Hull Points","7420","0.0243"
"Jarvis AlgorithmMin Hull Points","7430","0.0149"
"Jarvis AlgorithmMin Hull Points","7440","0.0133"
"Jarvis AlgorithmMin Hull Points","7450","0.0134"
"Jarvis AlgorithmMin Hull Points","7460","0.0133"
"Jarvis AlgorithmMin Hull Points","7470","0.0178"
"Jarvis AlgorithmMin Hull Points","7480","0.0138"
"Jarvis AlgorithmMin Hull Points","7490","0.0135"
"Jarvis AlgorithmMin Hull Points","7500","0.0136"
"Jarvis AlgorithmMin Hull Points","7510","0.0135"
"Jarvis AlgorithmMin Hull Points","7520","0.0147"
"Jarvis AlgorithmMin Hull Points","7530","0.0147"
"Jarvis AlgorithmMin Hull Points","7540","0.0135"
"Jarvis AlgorithmMin Hull Points","7550","0.0137"
"Jarvis AlgorithmMin Hull Points","7560","0.0136"
"Jarvis AlgorithmMin Hull Points","7570","0.0179"
"Jarvis AlgorithmMin Hull Points","7580","0.0185"
"Jarvis AlgorithmMin Hull Points","7590","0.0192"
"Jarvis AlgorithmMin Hull Points","7600","0.0194"
"Jarvis AlgorithmMin Hull Points","7610","0.0196"
"Jarvis AlgorithmMin Hull Points","7620","0.0309"
"Jarvis AlgorithmMin Hull Points","7630","0.0219"
"Jarvis AlgorithmMin Hull Points","7640","0.0342"
"Jarvis AlgorithmMin Hull Points","7650","0.0141"
"Jarvis AlgorithmMin Hull Points","7660","0.0136"
"Jarvis AlgorithmMin Hull Points","7670","0.0134"
"Jarvis AlgorithmMin Hull Points","7680","0.0147"
"Jarvis AlgorithmMin Hull Points","7690","0.0175"
"Jarvis AlgorithmMin Hull Points","7700","0.019"
