"A","B","C","D"
"Jarvis Algorithm Random","600","0.0102",""
"Jarvis Algorithm Random","610","0.0119",""
"Jarvis Algorithm Random","620","0.011",""
"Jarvis Algorithm Random","630","0.0067",""
"Jarvis Algorithm Random","640","0.0053",""
"Jarvis Algorithm Random","650","0.0077",""
"Jarvis Algorithm Random","660","0.0065",""
"Jarvis Algorithm Random","670","0.0093",""
"Jarvis Algorithm Random","680","0.0107",""
"Jarvis Algorithm Random","690","0.0141",""
"Jarvis Algorithm Random","700","0.0044",""
"Jarvis Algorithm Random","710","0.0178",""
"Jarvis Algorithm Random","720","0.0107",""
"Jarvis Algorithm Random","730","0.0091",""
"Jarvis Algorithm Random","740","0.0064",""
"Jarvis Algorithm Random","750","0.012",""
"Jarvis Algorithm Random","760","0.0122",""
"Jarvis Algorithm Random","770","0.0071",""
"Jarvis Algorithm Random","780","0.012",""
"Jarvis Algorithm Random","790","0.0127",""
"Jarvis Algorithm Random","800","0.0114",""
"Jarvis Algorithm Random","810","0.0175",""
"Jarvis Algorithm Random","820","0.0146",""
"Jarvis Algorithm Random","830","0.0082",""
"Jarvis Algorithm Random","840","0.0065",""
"Jarvis Algorithm Random","850","0.0081",""
"Jarvis Algorithm Random","860","0.008",""
"Jarvis Algorithm Random","870","0.01",""
"Jarvis Algorithm Random","880","0.0128",""
"Jarvis Algorithm Random","890","0.0117",""
"Jarvis Algorithm Random","900","0.0072",""
"Jarvis Algorithm Random","910","0.0066",""
"Jarvis Algorithm Random","920","0.0099",""
"Jarvis Algorithm Random","930","0.007",""
"Jarvis Algorithm Random","940","0.0089",""
"Jarvis Algorithm Random","950","0.01",""
"Jarvis Algorithm Random","960","0.0095",""
"Jarvis Algorithm Random","970","0.0094",""
"Jarvis Algorithm Random","980","0.0101",""
"Jarvis Algorithm Random","990","0.0093",""
"Jarvis Algorithm Random","1000","0.0139",""
"Jarvis Algorithm Random","1010","0.0091",""
"Jarvis Algorithm Random","1020","0.0132",""
"Jarvis Algorithm Random","1030","0.0159",""
"Jarvis Algorithm Random","1040","0.0131",""
"Jarvis Algorithm Random","1050","0.01",""
"Jarvis Algorithm Random","1060","0.0175",""
"Jarvis Algorithm Random","1070","0.0255",""
"Jarvis Algorithm Random","1080","0.0288",""
"Jarvis Algorithm Random","1090","0.0549",""
"Jarvis Algorithm Random","1100","0.0417",""
"Jarvis Algorithm Random","1110","0.0218",""
"Jarvis Algorithm Random","1120","0.0193",""
"Jarvis Algorithm Random","1130","0.0191",""
"Jarvis Algorithm Random","1140","0.0102",""
"Jarvis Algorithm Random","1150","0.0118",""
"Jarvis Algorithm Random","1160","0.0113",""
"Jarvis Algorithm Random","1170","0.0108",""
"Jarvis Algorithm Random","1180","0.0084",""
"Jarvis Algorithm Random","1190","0.0118",""
"Jarvis Algorithm Random","1200","0.0144",""
"Jarvis Algorithm Random","1210","0.0134",""
"Jarvis Algorithm Random","1220","0.0108",""
"Jarvis Algorithm Random","1230","0.01",""
"Jarvis Algorithm Random","1240","0.0113",""
"Jarvis Algorithm Random","1250","0.0136",""
"Jarvis Algorithm Random","1260","0.0123",""
"Jarvis Algorithm Random","1270","0.0138",""
"Jarvis Algorithm Random","1280","0.0149",""
"Jarvis Algorithm Random","1290","0.0133",""
"Jarvis Algorithm Random","1300","0.0125",""
"Jarvis Algorithm Random","1310","0.0088",""
"Jarvis Algorithm Random","1320","0.0121",""
"Jarvis Algorithm Random","1330","0.0097",""
"Jarvis Algorithm Random","1340","0.0126",""
"Jarvis Algorithm Random","1350","0.0124",""
"Jarvis Algorithm Random","1360","0.0143",""
"Jarvis Algorithm Random","1370","0.0118",""
"Jarvis Algorithm Random","1380","0.0187",""
"Jarvis Algorithm Random","1390","0.0164",""
"Jarvis Algorithm Random","1400","0.0248",""
"Jarvis Algorithm Random","1410","0.0465",""
"Jarvis Algorithm Random","1420","0.0251",""
"Jarvis Algorithm Random","1430","0.0204",""
"Jarvis Algorithm Random","1440","0.0165",""
"Jarvis Algorithm Random","1450","0.016",""
"Jarvis Algorithm Random","1460","0.0152",""
"Jarvis Algorithm Random","1470","0.0129",""
"Jarvis Algorithm Random","1480","0.0118",""
"Jarvis Algorithm Random","1490","0.0219",""
"Jarvis Algorithm Random","1500","0.0145",""
"Jarvis Algorithm Random","1510","0.0119",""
"Jarvis Algorithm Random","1520","0.0201",""
"Jarvis Algorithm Random","1530","0.0163",""
"Jarvis Algorithm Random","1540","0.0175",""
"Jarvis Algorithm Random","1550","0.0186",""
"Jarvis Algorithm Random","1560","0.0174",""
"Jarvis Algorithm Random","1570","0.0186",""
"Jarvis Algorithm Random","1580","0.0728",""
"Jarvis Algorithm Random","1590","0.038",""
"Jarvis Algorithm Random","1600","0.0241",""
"Jarvis Algorithm Random","1610","0.0203",""
"Jarvis Algorithm Random","1620","0.0148",""
"Jarvis Algorithm Random","1630","0.0168",""
"Jarvis Algorithm Random","1640","0.0203",""
"Jarvis Algorithm Random","1650","0.0184",""
"Jarvis Algorithm Random","1660","0.0132",""
"Jarvis Algorithm Random","1670","0.0207",""
"Jarvis Algorithm Random","1680","0.0172",""
"Jarvis Algorithm Random","1690","0.014",""
"Jarvis Algorithm Random","1700","0.0147",""
"Jarvis Algorithm Random","1710","0.0184",""
"Jarvis Algorithm Random","1720","0.0206",""
"Jarvis Algorithm Random","1730","0.0255",""
"Jarvis Algorithm Random","1740","0.0195",""
"Jarvis Algorithm Random","1750","0.0165",""
"Jarvis Algorithm Random","1760","0.0223",""
"Jarvis Algorithm Random","1770","0.0221",""
"Jarvis Algorithm Random","1780","0.0217",""
"Jarvis Algorithm Random","1790","0.0368",""
"Jarvis Algorithm Random","1800","0.0236",""
"Jarvis Algorithm Random","1810","0.0367",""
"Jarvis Algorithm Random","1820","0.0326",""
"Jarvis Algorithm Random","1830","0.0348",""
"Jarvis Algorithm Random","1840","0.0215",""
"Jarvis Algorithm Random","1850","0.0337",""
"Jarvis Algorithm Random","1860","0.0251",""
"Jarvis Algorithm Random","1870","0.0244",""
"Jarvis Algorithm Random","1880","0.0197",""
"Jarvis Algorithm Random","1890","0.0252",""
"Jarvis Algorithm Random","1900","0.0298",""
"Jarvis Algorithm Random","1910","0.0266",""
"Jarvis Algorithm Random","1920","0.0132",""
"Jarvis Algorithm Random","1930","0.0175",""
"Jarvis Algorithm Random","1940","0.0189",""
"Jarvis Algorithm Random","1950","0.0213",""
"Jarvis Algorithm Random","1960","0.0307",""
"Jarvis Algorithm Random","1970","0.0186",""
"Jarvis Algorithm Random","1980","0.0467",""
"Jarvis Algorithm Random","1990","0.0249",""
"Jarvis Algorithm Random","2000","0.0234",""
"Jarvis Algorithm Random","2010","0.0235",""
"Jarvis Algorithm Random","2020","0.0235",""
"Jarvis Algorithm Random","2030","0.0249",""
"Jarvis Algorithm Random","2040","0.0279",""
"Jarvis Algorithm Random","2050","0.0283",""
"Jarvis Algorithm Random","2060","0.0324",""
"Jarvis Algorithm Random","2070","0.0269",""
"Jarvis Algorithm Random","2080","0.0247",""
"Jarvis Algorithm Random","2090","0.0457",""
